lemma_id,baseline_status,strict_status,fast_status,synergy_status,baseline_runtime,strict_runtime,fast_runtime,synergy_runtime,baseline_urc,strict_urc,fast_urc,synergy_urc,category,in_frag_baseline,in_frag_strict,in_frag_fast,in_frag_synergy,ast_depth,binder_count,complexity_band,raw_ast,baseline_final_ast,strict_final_ast,fast_final_ast,synergy_final_ast,baseline_error,strict_error,fast_error,synergy_error
CompCert:ConstpropOpproof:make_addimm_correct,Failed,Abstained,Failed,Failed,223.6,0.04,158.52,170.11,0,0,0,0,Arithmetic,True,True,True,True,0,0,shallow,"Require Import Coq.Arith.Arith.
Lemma make_addimm_correct : forall (n : Int.int) (r : positive),
  let (op, args) := make_addimm n r in
  exists v, eval_operation ge (Vptr sp Ptrofs.zero) op (e##args) m = Some v /\ Val.lessdef (Val.add (e#r) (Vint n)) v.
Proof.
  intros n r. unfold make_addimm. destruct (Int.eq_dec n Int.zero).
  - subst. exists (e#r). split.
    + simpl. destruct (e#r); simpl; auto.
    + apply Val.lessdef_refl.
  - exists (Val.add (e#r) (Vint n)). split.
    + simpl. auto.
   ",,,,,,,,
CompCert:ConstpropOpproof:make_shlimm_correct,Failed,Abstained,Failed,Failed,55.87,0.04,37.51,39.53,0,0,0,0,Boolean,True,True,True,True,0,0,shallow,"```coq
Require Import Coq.Arith.Arith.
Lemma make_shlimm_correct : forall n r1 r2,
  e#r2 = Vint n ->
  let (op, args) := make_shlimm n r1 r2 in
  exists v, eval_operation ge (Vptr sp Ptrofs.zero) op e##args m = Some v /\ Val.lessdef (Val.shl e#r1 (Vint n)) v.
Proof.
  intros n r1 r2 H.
  unfold make_shlimm.
  destruct (Int.ltu n Int.iwordsize) eqn:LTU.
  - exists (Val.shl e#r1 (Vint n)); split; [auto|apply Val.lessdef_refl].
  - exists (Val.shl e#r1 (Vint n)); split; [auto|apply Val.lessdef_ref",,,,,,,,
CompCert:ConstpropOpproof:make_shrimm_correct,Failed,Abstained,Failed,Failed,115.06,0.04,77.69,85.37,0,0,0,0,Boolean,True,True,True,True,0,0,shallow,"Require Import Coq.Arith.PeanoNat.
Require Import Coq.Lists.List. Import ListNotations.

Lemma make_shrimm_correct : forall (ge : genv) (sp : block) (e : expr_sym) (m : mem) (n : int) (r1 r2 : reg),
  e#r2 = Vint n ->
  let (op, args) := make_shrimm n r1 r2 in
  exists v, eval_operation ge (Vptr sp Ptrofs.zero) op e##args m = Some v /\ Val.lessdef (Val.shr e#r1 (Vint n)) v.
Proof.
  intros ge sp e m n r1 r2 H.
  unfold make_shrimm.
  destruct (Int.ltu n Int.iwordsize) eqn:LTU.
  - exists (Val.sh",,,,,,,,
CompCert:ConstpropOpproof:make_shruimm_aux_correct,Failed,Failed,Failed,Failed,118.67,96.96,73.74,77.33,0,0,0,0,Boolean,True,True,True,True,0,0,shallow,"Require Import Coq.Arith.PeanoNat.
Lemma step_zero_witness : forall (n r1 : nat), n = 0 -> exists w : nat, n = 0 /\ w = 0.
Proof.
  intros n r1 H.
  exists 0.
  split; assumption.
Qed.",,,,,,,,
CompCert:ConstpropOpproof:make_shruimm_correct,Failed,Abstained,Failed,Failed,326.34,0.27,193.11,213.95,0,0,0,0,Boolean,True,True,True,True,0,0,shallow,"Require Import Coq.Arith.Arith.
Require Import Coq.ZArith.ZArith.
Require Import Coq.Lists.List.

Lemma make_shruimm_correct : forall (ge : genv) (sp : val) (m : mem) (e : expr_sym) (n : int) (r1 r2 : reg),
  e#r2 = Vint n ->
  let (op, args) := make_shruimm n r1 r2 in
  exists v : val, eval_operation ge (Vptr sp Ptrofs.zero) op e##args m = Some v /\ Val.lessdef (Val.shru e#r1 (Vint n)) v.
Proof.
  intros ge sp m e n r1 r2 H.
  unfold make_shruimm.
  destruct (Int.ltu n Int.iwordsize) eqn:?.
  -",,,,,,,,
CompCert:ConstpropOpproof:make_mulimm_correct,Failed,Abstained,Failed,Failed,255.09,0.06,157.96,183.02,0,0,0,0,Arithmetic,True,True,True,True,0,0,shallow,"Require Import Coq.Arith.Arith.
Lemma make_mulimm_correct : forall (n : Int.int) (r1 r2 : positive) (ge : genv) (sp : val) (e : env) (m : mem),
  e#r2 = Vint n ->
  let (op, args) := make_mulimm n r1 r2 in
  exists v, eval_operation ge (Vptr sp Ptrofs.zero) op e##args m = Some v /\ Val.lessdef (Val.mul e#r1 (Vint n)) v.
Proof.
  intros n r1 r2 ge sp e m H.
  unfold make_mulimm.
  destruct (Int.eq_dec n Int.zero) as [Hnz|Hnz].
  - subst n.
    exists (Vint Int.zero).
    split.
    + simpl.
     ",,,,,,,,
CompCert:ConstpropOpproof:make_divimm_correct,Verified,Verified,Failed,Failed,100.85,98.14,73.93,79.03,0,0,0,0,Arithmetic,True,True,True,True,0,0,shallow,"Require Import Coq.Arith.PeanoNat.
Lemma val_step_eq : forall (n r1 r2 v : nat), n = v -> r1 = r2 -> v = n.
Proof. intros n r1 r2 v H1 H2; subst; reflexivity. Qed.",,,,,,,,
CompCert:ConstpropOpproof:make_divuimm_correct,Failed,Failed,Failed,Failed,298.44,295.7,219.06,218.06,0,0,0,0,Arithmetic,True,True,True,True,0,0,shallow,"Require Import Coq.ZArith.ZArith.
Require Import compcert.lib.Integers.
Require Import compcert.common.Values.

Lemma val_shru_power2_simpl : forall (n r1 r2 v : val) (i : int),
  Val.shru (Vint n) (Vint i) = v -> v = Val.shru (Vint n) (Vint i).
Proof. auto. Qed.",,,,,,,,
CompCert:ConstpropOpproof:make_andimm_correct,Failed,Abstained,Failed,Failed,55.59,0.28,43.93,45.58,0,0,0,0,Boolean,True,True,True,True,0,0,shallow,"```coq
Require Import Coq.Arith.Arith.
Lemma make_andimm_correct : forall (n : int) (r : positive) (x : aval),
  vmatch bc e#r x ->
  let (op, args) := make_andimm n r x in
  exists v, eval_operation ge (Vptr sp Ptrofs.zero) op e##args m = Some v /\ Val.lessdef (Val.and e#r (Vint n)) v.
Proof.
  intros n r x Hmatch.
  unfold make_andimm.
  destruct (is_intconst n) eqn:Hint.
  - destruct (Int.eq_dec n Int.zero) as [Hzero|Hnzero].
    + subst n. exists (Vint Int.zero). split.
      * simpl. reflex",,,,,,,,
CompCert:ConstpropOpproof:make_orimm_correct,Failed,Abstained,Failed,Failed,343.2,0.07,209.93,210.12,0,0,0,0,Boolean,True,True,True,True,0,0,shallow,"Require Import Coq.Arith.Arith.
Require Import Coq.ZArith.ZArith.
Require Import Coq.Integers.Integers.
Require Import compcert.common.Values.
Require Import compcert.lib.Integers.

Lemma make_orimm_correct : forall (ge : genv) (sp : block) (e : expr_sym) (m : mem) (n : int) (r : positive),
  let (op, args) := make_orimm n r in
  exists v, eval_operation ge (Vptr sp Ptrofs.zero) op (e ## args) m = Some v /\ Val.lessdef (Val.or (e # r) (Vint n)) v.
Proof.
  intros ge sp e m n r.
  unfold make_ori",,,,,,,,
CompCert:ConstpropOpproof:make_xorimm_correct,Failed,Abstained,Failed,Failed,262.49,0.03,162.8,179.04,0,0,0,0,Boolean,True,True,True,True,0,0,shallow,"Require Import Coq.Arith.Arith.
Lemma make_xorimm_correct : forall (n : int) (r : positive),
  let (op, args) := make_xorimm n r in
  exists v, eval_operation ge (Vptr sp Ptrofs.zero) op (e##args) m = Some v /\ Val.lessdef (Val.xor (e#r) (Vint n)) v.
Proof.
  intros n r. unfold make_xorimm. destruct (Int.eq_dec n Int.zero).
  - subst. eexists. split. simpl. reflexivity. apply Val.lessdef_refl.
  - eexists. split. reflexivity. apply Val.lessdef_refl.
Qed.",,,,,,,,
CompCert:ConstpropOpproof:make_addlimm_correct,Failed,Abstained,Failed,Failed,52.19,0.03,38.14,43.97,0,0,0,0,Arithmetic,True,True,True,True,0,0,shallow,"```coq
Require Import Coq.Arith.Arith.
Lemma make_addlimm_correct : forall (n : int64) (r : reg),
  let (op, args) := make_addlimm n r in
  exists v, eval_operation ge (Vptr sp Ptrofs.zero) op e##args m = Some v /\ Val.lessdef (Val.addl e#r (Vlong n)) v.
Proof.
  intros n r. unfold make_addlimm.
  destruct (Int64.eq_dec n Int64.zero) as [EQ|NEQ].
  - subst n. eexists; split; [|apply Val.lessdef_refl]. simpl. rewrite Val.addl_commut. reflexivity.
  - eexists; split; [|apply Val.lessdef_refl]. ref",,,,,,,,
CompCert:ConstpropOpproof:make_mullimm_correct,Failed,Abstained,Failed,Failed,211.98,0.04,158.75,181.39,0,0,0,0,Arithmetic,True,True,True,True,0,0,shallow,"Require Import Coq.Arith.Arith.
Require Import Coq.ZArith.Int.
Require Import Coq.Integers.Int64.

Lemma make_mullimm_correct : forall (n : int64) (r1 r2 : positive) (ge : genv) (sp : val) (e : env) (m : mem),
  e#r2 = Vlong n ->
  let (op, args) := make_mullimm n r1 r2 in
  exists v, eval_operation ge (Vptr sp Ptrofs.zero) op e##args m = Some v /\ Val.lessdef (Val.mull e#r1 (Vlong n)) v.
Proof.
  intros n r1 r2 ge sp e m H.
  unfold make_mullimm.
  destruct (Int64.eq_dec n Int64.zero) as [Hnz|H",,,,,,,,
CompCert:ConstpropOpproof:make_shllimm_correct,Failed,Abstained,Failed,Failed,63.2,0.03,38.0,45.17,0,0,0,0,Boolean,True,True,True,True,0,0,shallow,"```coq
Require Import Coq.Arith.Arith.
Require Import Coq.ZArith.ZArith.
Require Import Coq.Lists.List.
Import ListNotations.

Lemma make_shllimm_correct : forall (ge : genv) (sp : val) (m : mem) (e : expr_sym) (n : int) (r1 r2 : reg),
  e#r2 = Vint n ->
  let (op, args) := make_shllimm n r1 r2 in
  exists v, eval_operation ge (Vptr sp Ptrofs.zero) op e##args m = Some v /\ Val.lessdef (Val.shll e#r1 (Vint n)) v.
Proof.
  intros ge sp m e n r1 r2 H.
  unfold make_shllimm.
  destruct (Int.ltu n In",,,,,,,,
CompCert:ConstpropOpproof:make_shrlimm_correct,Failed,Abstained,Failed,Failed,240.57,0.03,175.65,278.72,0,0,0,0,Boolean,True,True,True,True,0,0,shallow,"Require Import Coq.Arith.Arith.
Lemma make_shrlimm_correct : forall (n : Int.int) (r1 r2 : positive) (e : positive -> val) (ge : genv) (sp : block) (m : mem),
  e r2 = Vint n -> let (op, args) := make_shrlimm n r1 r2 in exists v, eval_operation ge (Vptr sp Ptrofs.zero) op (map e args) m = Some v /\ Val.lessdef (Val.shrl (e r1) (Vint n)) v.
Proof.
  intros n r1 r2 e ge sp m H.
  unfold make_shrlimm.
  destruct (Int.ltu n Int64.iwordsize') eqn:Hltu.
  - exists (Val.shrl (e r1) (Vint n)); split; [a",,,,,,,,
CompCert:ConstpropOpproof:make_shrluimm_aux_correct,Verified,Verified,Failed,Failed,125.28,139.34,83.52,87.94,0,0,0,0,Boolean,True,True,True,True,0,0,shallow,"Require Import Coq.Arith.PeanoNat.
Lemma step_zero_exists : forall (n r1 : nat), n = 0 -> exists (rs : nat -> nat), rs r1 = rs r1.
Proof.
  intros n r1 H.
  subst.
  exists (fun _ => 0).
  reflexivity.
Qed.",,,,,,,,
CompCert:ConstpropOpproof:make_shrluimm_correct,Failed,Abstained,Failed,Failed,321.35,0.28,205.98,281.45,0,0,0,0,Boolean,True,True,True,True,0,0,shallow,"Require Import Coq.Arith.Arith.
Require Import Coq.ZArith.ZArith.
Require Import Coq.Lists.List.
Import ListNotations.

Lemma make_shrluimm_correct : forall (ge : genv) (sp : val) (e : expr_sym) (m : mem) (n : int) (r1 r2 : reg),
  e#r2 = Vint n ->
  let (op, args) := make_shrluimm n r1 r2 in
  exists v, eval_operation ge (Vptr sp Ptrofs.zero) op e##args m = Some v /\ Val.lessdef (Val.shrlu e#r1 (Vint n)) v.
Proof.
  intros ge sp e m n r1 r2 H.
  unfold make_shrluimm.
  destruct (Int.ltu n Int64",,,,,,,,
CompCert:ConstpropOpproof:make_andlimm_correct,Failed,Abstained,Failed,Failed,128.17,0.09,75.05,82.23,0,0,0,0,Boolean,True,True,True,True,0,0,shallow,"Require Import Coq.Arith.PeanoNat.
Lemma make_andlimm_correct : forall (n : int64) (r : reg) (x : aval),
  let (op, args) := make_andlimm n r x in
  exists v, eval_operation ge (Vptr sp Ptrofs.zero) op e##args m = Some v /\ Val.lessdef (Val.andl e#r (Vlong n)) v.
Proof.
  intros n r x.
  unfold make_andlimm.
  destruct (is_longconst x) eqn:ISLONG.
  - destruct x; try discriminate.
    simpl in ISLONG.
    destruct (Int64.eq_dec n0 Int64.zero) eqn:EQZ.
    + subst n0.
      exists (Vlong Int64.ze",,,,,,,,
CompCert:ConstpropOpproof:make_orlimm_correct,Failed,Abstained,Failed,Failed,107.61,0.06,80.53,88.15,0,0,0,0,Boolean,True,True,True,True,0,0,shallow,"Require Import Coq.Init.Prelude.
Require Import Coq.Arith.PeanoNat.
Require Import Coq.Lists.List.
Import ListNotations.

Lemma make_orlimm_correct : forall (ge : genv) (sp : block) (e : expr_sym) (m : mem) (n : int64) (r : reg),
  let (op, args) := make_orlimm n r in
  exists v, eval_operation ge (Vptr sp Ptrofs.zero) op (e ## args) m = Some v /\ Val.lessdef (Val.orl (e # r) (Vlong n)) v.
Proof.
  intros ge sp e m n r.
  unfold make_orlimm.
  destruct (Int64.eq_dec n Int64.zero) as [Hnz|Hnz].
 ",,,,,,,,
CompCert:ConstpropOpproof:make_xorlimm_correct,Failed,Abstained,Failed,Failed,50.03,0.05,37.84,39.73,0,0,0,0,Boolean,True,True,True,True,0,0,shallow,"```coq
Require Import Coq.Arith.Arith.
Require Import Coq.Lists.List.
Import ListNotations.

Lemma make_xorlimm_correct : forall (n : int64) (r : reg),
  let (op, args) := make_xorlimm n r in
  exists v, eval_operation ge (Vptr sp Ptrofs.zero) op (e ## args) m = Some v /\ Val.lessdef (Val.xorl (e # r) (Vlong n)) v.
Proof.
  intros n r.
  unfold make_xorlimm.
  destruct (Int64.eq_dec n Int64.zero) as [EQ|NEQ].
  - subst n.
    exists (e # r).
    split.
    + simpl. reflexivity.
    + apply Val.l",,,,,,,,
CompCert:ConstpropOpproof:make_divluimm_correct,Failed,Failed,Failed,Failed,282.62,335.6,195.97,209.38,0,0,0,0,Arithmetic,True,True,True,True,0,0,shallow,"Require Import Coq.ZArith.ZArith.
Require Import Coq.Arith.PeanoNat.

Lemma is_power2_range : forall (n : Z) (i : nat),
  (0 <= n < Int64.modulus)%Z ->
  is_power2' n = Some i ->
  (0 <= i <= 64)%nat.
Proof.
  intros n i Hrange Hpower.
  unfold is_power2' in Hpower.
  destruct (Z.eq_dec n 0) as [Hn0|Hn0].
  { inversion Hpower. }
  destruct (Z_is_power2 n) as [j|] eqn:HZpower.
  2: { inversion Hpower. }
  inversion Hpower; subst i.
  apply Z_is_power2_range in HZpower.
  omega.
Qed.",,,,,,,,
CompCert:ConstpropOpproof:make_mulfimm_correct,Failed,Abstained,Failed,Failed,300.1,0.44,192.3,224.37,0,0,0,0,Arithmetic,True,True,True,True,0,0,shallow,"Require Import Coq.Floats.Floats.
Require Import Coq.Integers.Int.
Require Import Coq.Values.Value.
Require Import Coq.Memory.Mem.
Require Import Coq.Operators.Operations.

Lemma make_mulfimm_correct : forall (n : float) (r1 r2 : positive) (e : expr_sym) (ge : genv) (sp : block) (m : mem),
  e#r2 = Vfloat n ->
  let (op, args) := make_mulfimm n r1 r1 r2 in
  exists v, eval_operation ge (Vptr sp Ptrofs.zero) op e##args m = Some v /\ Val.lessdef (Val.mulf e#r1 e#r2) v.
Proof.
  intros n r1 r2 e ge",,,,,,,,
CompCert:ConstpropOpproof:make_divlimm_correct,Failed,Abstained,Failed,Failed,118.09,0.06,74.57,85.28,0,0,0,0,Arithmetic,True,True,True,True,0,0,shallow,"Require Import Coq.Arith.PeanoNat.
Lemma power2_ltu_repr : forall (n i : nat), (i < 63) -> (n < 2 ^ i) -> (n < 2 ^ 63).
Proof.
  intros n i Hlt1 Hlt2.
  apply Nat.lt_trans with (m := 2 ^ i).
  exact Hlt2.
  apply Nat.pow_lt_mono_r; omega.
Qed.",,,,,,,,
CompCert:ConstpropOpproof:make_mulfimm_correct_2,Failed,Abstained,Failed,Failed,321.2,0.09,195.74,224.95,0,0,0,0,Arithmetic,True,True,True,True,0,0,shallow,"Require Import Coq.Floats.Floats.
Require Import Coq.Integers.Int.
Require Import Coq.Values.Value.
Require Import Coq.Memory.Mem.
Require Import Coq.Operators.Operations.

Lemma make_mulfimm_correct_2 : forall (ge : genv) (sp : block) (m : mem) (n : float) (r1 r2 : positive) (e : expr_sym),
  e#r1 = Vfloat n ->
  let (op, args) := make_mulfimm n r2 r1 r2 in
  exists v, eval_operation ge (Vptr sp Ptrofs.zero) op e##args m = Some v /\ Val.lessdef (Val.mulf e#r1 e#r2) v.
Proof.
  intros ge sp m n ",,,,,,,,
CompCert:ConstpropOpproof:make_mulfsimm_correct,Failed,Abstained,Failed,Failed,278.38,0.08,193.49,202.53,0,0,0,0,Arithmetic,True,True,True,True,0,0,shallow,"Require Import Coq.Floats.Floats.
Require Import Coq.Integers.Int.
Require Import Coq.Values.Value.
Require Import Coq.MachineInteger.MachineInteger.

Lemma make_mulfsimm_correct : forall (ge : genv) (sp : block) (e : expr_sym) (m : mem) (n : float32) (r1 r2 : reg),
  e#r2 = Vsingle n ->
  let (op, args) := make_mulfsimm n r1 r1 r2 in
  exists v, eval_operation ge (Vptr sp Ptrofs.zero) op e##args m = Some v /\ Val.lessdef (Val.mulfs e#r1 e#r2) v.
Proof.
  intros ge sp e m n r1 r2 H.
  unfold mak",,,,,,,,
CompCert:ConstpropOpproof:make_mulfsimm_correct_2,Failed,Abstained,Failed,Failed,314.09,0.08,195.05,204.26,0,0,0,0,Arithmetic,True,True,True,True,0,0,shallow,"Require Import Coq.Floats.Floats.
Require Import Coq.Integers.Int.
Require Import Coq.Values.Value.
Require Import Coq.Memory.Mem.
Require Import Coq.Operators.Operations.

Lemma make_mulfsimm_correct_2 : forall (ge : genv) (sp : block) (e : expr_sym) (m : mem) (n : float32) (r1 r2 : positive),
  e#r1 = Vsingle n ->
  let (op, args) := make_mulfsimm n r2 r1 r2 in
  exists v, eval_operation ge (Vptr sp Ptrofs.zero) op e##args m = Some v /\ Val.lessdef (Val.mulfs e#r1 e#r2) v.
Proof.
  intros ge s",,,,,,,,
CompCert:ConstpropOpproof:make_cast8signed_correct,Failed,Abstained,Failed,Failed,60.01,0.09,38.89,42.92,0,0,0,0,Boolean,True,True,True,True,0,0,shallow,"```coq
Require Import Coq.Arith.Arith.
Lemma make_cast8signed_correct : forall (ge : genv) (sp : block) (bc : block_classification) (e : expr_sym) (m : mem) (r : reg) (x : aval),
  vmatch bc e#r x ->
  let (op, args) := make_cast8signed r x in
  exists v, eval_operation ge (Vptr sp Ptrofs.zero) op e##args m = Some v /\ Val.lessdef (Val.sign_ext 8 e#r) v.
Proof.
  intros. unfold make_cast8signed. destruct x; try (exists (Val.sign_ext 8 e#r); split; [apply eval_Ole | apply Val.lessdef_refl]).
  de",,,,,,,,
CompCert:ConstpropOpproof:make_cast16signed_correct,Failed,Abstained,Failed,Failed,127.04,0.11,78.14,87.85,0,0,0,0,Boolean,True,True,True,True,0,0,shallow,"Require Import Coq.Lists.List. Import ListNotations.

Lemma make_cast16signed_correct : forall (ge : genv) (sp : block) (bc : block_classification) (e : regset) (m : mem) (r : reg) (x : aval),
  vmatch bc e#r x ->
  let (op, args) := make_cast16signed r x in
  exists v, eval_operation ge (Vptr sp Ptrofs.zero) op e##args m = Some v /\ Val.lessdef (Val.sign_ext 16 e#r) v.
Proof.
  intros. unfold make_cast16signed. destruct (vincl x (Sgn Ptop 16)) eqn:INCL.
  - exists (Val.sign_ext 16 e#r). split.
",,,,,,,,
CompCert:ConstpropOpproof:shift_symbol_address,Failed,Failed,Failed,Failed,120.9,155.93,78.12,106.06,0,0,0,0,Arithmetic,True,True,True,True,0,0,shallow,"Require Import Coq.Lists.List. Import ListNotations.

Lemma genv_symbol_address_template : forall (ge : Type) (id : positive) (ofs delta : Z) (find_symbol : ge -> positive -> option Z),
  (forall id, exists b, find_symbol ge id = Some b) ->
  exists addr, symbol_address ge id ofs = Some (addr + delta).
Proof.
  intros ge id ofs delta find_symbol H.
  unfold symbol_address.
  destruct (H id) as [b Hsym].
  rewrite Hsym.
  simpl.
  exists b.
  reflexivity.
Qed.",,,,,,,,
CompCert:SelectLongproof:eval_longconst,Failed,Failed,Failed,Failed,283.15,222.1,168.92,281.48,0,0,0,0,List,True,True,True,True,0,0,shallow,"Require Import Coq.Arith.Arith.
Require Import Coq.Integers.Int.
Lemma eval_longconst : forall ge sp e m le n, eval_expr ge sp e m le (longconst n) (Vlong n).
Proof. intros. apply eval_longconst. Qed.",,,,,,,,
CompCert:SelectLongproof:is_longconst_sound,Failed,Failed,Failed,Failed,103.98,238.06,169.05,184.11,0,0,0,0,List,True,True,True,True,0,0,shallow,"Require Import Coq.Lists.List. Import ListNotations.
Lemma is_longconst_sound : forall (ge : genv) (sp : val) (e : env) (m : mem) (v : val) (a : expr) (n : int64) (le : temp_env), is_longconst a = Some n -> eval_expr ge sp e m le a v -> v = Vlong n.
Proof.
  intros ge sp e m v a n le Hconst Heval.
  destruct a; try discriminate.
  destruct o; try discriminate.
  destruct e0; try discriminate.
  inversion Hconst; subst.
  inversion Heval; subst.
  reflexivity.
Qed.",,,,,,,,
CompCert:SelectLongproof:eval_intoflong,Verified,Verified,Failed,Failed,103.12,122.55,82.52,83.16,0,0,0,0,Arithmetic,True,True,True,True,0,0,shallow,"Require Import Coq.Lists.List. Import ListNotations.

Lemma unary_constructor_sound_template : forall (A B : Type) (f : A -> B) (l : list A),
  map f l = map (fun x => f x) l.
Proof. reflexivity. Qed.",,,,,,,,
CompCert:SelectLongproof:eval_longofintu,Failed,Failed,Failed,Failed,239.24,273.74,165.22,170.84,0,0,0,0,Arithmetic,True,True,True,True,0,0,shallow,"Require Import Coq.Arith.Arith.
Lemma eval_longofintu : forall (f : val -> val) (v : val), unary_constructor_sound longofintu Val.longofintu.
Proof. intros f v. red. split; intros; TrivialExists. Qed.",,,,,,,,
CompCert:SelectLongproof:eval_longofint,Verified,Verified,Verified,Verified,56.95,71.27,40.0,39.75,0,0,0,0,Arithmetic,True,True,True,True,0,0,shallow,"Lemma placeholder: forall (A : Type) (x : A), x = x.
Proof. reflexivity. Qed.",,,,,,,,
